battle_time,game_mode,arena,battle_type,is_ladder_tournament,player_tag,opponent_tag,player_crowns,opponent_crowns,won
2025-09-12T11:44:36+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#JJUJLJ9QY,3,0,1
2025-09-12T03:33:39+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#GQ2QV29QC,3,0,1
2025-09-12T03:29:57+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#2V9JVQJRV,2,1,1
2025-09-08T03:51:30+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#CYQCRLGP9,1,0,1
2025-08-30T20:30:49+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#20RRRUJPJY,1,0,1
2025-08-30T20:26:45+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2UPYVG09J,2,1,1
2025-08-30T20:22:55+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2UPYVG09J,0,1,0
2025-08-30T20:19:34+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2UPYVG09J,3,0,1
2025-08-26T23:39:49+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2UPYVG09J,1,0,1
2025-08-26T23:36:02+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2UPYVG09J,1,3,0
2025-08-26T23:34:52+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2UPYVG09J,1,0,1
2025-08-26T23:31:15+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2UPYVG09J,0,1,0
2025-08-22T01:59:53+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#R2JJG8V8,0,3,0
2025-08-22T01:58:24+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2V99YQLPV,1,2,0
2025-08-22T01:53:27+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2V99YQLPV,1,0,1
2025-08-22T01:41:27+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2V99YQLPV,2,1,1
2025-08-22T01:35:05+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#PPRVR98YP,3,1,1
2025-08-22T01:10:47+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2V99YQLPV,1,0,1
2025-08-22T01:05:08+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2V99YQLPV,1,0,1
2025-08-22T00:58:37+00:00,Friendly,Boot Camp,friendly,False,#22JQVP0P9,#2V99YQLPV,1,0,1
2025-08-22T00:54:15+00:00,DraftMode,Legendary Arena,friendly,False,#22JQVP0P9,#PPRVR98YP,0,1,0
2025-08-22T00:49:39+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#PPRVR98YP,1,0,1
2025-08-20T19:16:44+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#2V99YQLPV,1,0,1
2025-08-17T20:02:30+00:00,Ladder,PANCAKES!,PvP,False,#22JQVP0P9,#CV8YJYVU8,3,0,1
2025-08-01T13:35:42+00:00,Friendly,Dragon Spa,friendly,False,#22JQVP0P9,#PUJ8RY9GR,1,0,1
2025-08-01T13:24:08+00:00,Friendly,Dragon Spa,friendly,False,#22JQVP0P9,#PUJ8RY9GR,0,3,0
2025-08-01T13:18:38+00:00,Friendly,Dragon Spa,friendly,False,#22JQVP0P9,#PUJ8RY9GR,1,0,1
2025-08-01T13:06:39+00:00,Friendly,Dragon Spa,friendly,False,#22JQVP0P9,#PUJ8RY9GR,1,0,1
2025-08-01T13:00:30+00:00,Friendly,PANCAKES!,friendly,False,#22JQVP0P9,#PUJ8RY9GR,0,1,0
2025-07-27T12:18:58+00:00,Friendly,Dragon Spa,friendly,False,#22JQVP0P9,#PUJ8RY9GR,0,1,0
