tag,name,trophies,clan_tag,clan_name
#2YC08J2UL,clodisvald0,6114,#RYJVR98P,Boto cor d'Xot@
#UQ2RRGJR0,ElectroWizz,7258,#YJ99GVRY,Loading... WaiT
#RP8GG98LP,piez gnebol 09,7062,#QQPP8UJR,LEGEND
#20PC222PUU,9PH03N1XX,3261,#R8CVYV98,star
#20LC9CCYLR,Z_Lord,4506,#GG8GPR2V,THE
#UCR08RQYG,daniel,9391,#QJGYQ9RR,King
#V9YPP8YYL,Looei Babooei,2514,#RUPVRUUV,the boys
#200J2QPQ8Y,klarunxs,1250,#RL9G89L9,Evo Roy
#20QU880QQC,XOMPF,5674,#L8PJVCU2,Waifu
#CCPYYLVCG,peanutbutter919,3624,#RP022QJY,king
#U2UCC9GP,인봉,10000,#QCYCVU9Q,King
#VJQ8PLQUG,dz,2551,#LVLUP2PR,inspiração Roy
#202LJUYLQV,myster,2917,#G988GJ22,Legend
#V2RGPY80Y,chiquiton_ton_,7074,#QCLPU8PG,los letales pro
#2082PJC9RV,ęmpēřªđøř,852,#RG9PP28V,los pros roy
#UGRGLCVC2,amirlook,6230,#QLUVLYCR,KING
#C9JJ9LJY0,morgan 274,185,#L89VVL9P,war
#2LYJV2VUG,WheresPerry,8189,#2GV8UGYP,Legend
#URJ8G0R08,みんのの部屋,9560,#2VYQR9UP,star
#20898VPCRP,cjseal,1000,#GUYVVC9Q,WRTYUS
#VCU099U2J,yrzada,7677,#GG2LQJ9Q,Legend
#VU2P2UL2J,CocGobbler,7662,#G0CLQ8J0,WaitImGoated
#200LR9PL9P,Pop Usimi,7262,#G2QL2PRJ,pro smrde
#RGU09PJGU,Fenex max,1450,#QYLUVYPQ,Mega
#2L2QYVJQ8,joju,8000,#GVYGJCQY,war
#V9V229GG,송이버섯,10000,#GL2JYC2U,Clan
#VR0JQLP,@DEIVY),9205,#LQLPPJQQ,COMO ES Y TAN
#RRU9CYQYQ,senor gato,7022,#QUVCRR8G,Como Kings
#JPP8GG8RQ,ViniCinh0 Br,8500,#G0LGL00U,LEGEND
#CPQRV8JCY,danial,5515,#YVUJQP8Y,KING
#YJPPLGPGV,ironfire,8085,#LGJVG8YG,Clan
#YC0G088CJ,YOUWILLLOSE,7878,#G2YQ8ULU,Star Star
#209V2GY2UV,unable,2662,#QGVCY8L8,WaR
#U28LUVPCJ,ali,7759,#QG0PJCU8,KIng
#UGY2PCY0Y,rix,2172,#LV8L9UQY,MEGA
#V8V0RQYQ2,kaiser,3145,#YPP0UGQ8,WAR
#GU0Q9VRGY,Estrella,146,#LPLPC20L,WAR
#YCUL9YQYC,маенкрафтер,2493,#LP0YQCPJ,mega
#89LPUYQJ,Elbee,10000,#89CGPUPR,Roy Team Fr
#28C908RGV,flores2,5269,#RRR082LQ,inresa pro
#202RGLQQUP,Qoşqar Müslüm,8107,#G9LGUR0V,selyuyan
#9LRQ2UG,SimoInter26,8011,#LURGQL8J,pro
#LCCJQJUYU,♡ana♡◇♧♤,3430,#9QPR99QL,Mega mega mega
#CU8QY20LU,mareo,851,#G9C02JL8,clan pro max
#PP9UUCRQG,JHEDALIX,10000,#GQ9R92Y9,CLAN CLAN CLAN
#VLPQRJ0PU,pejo,8142,#QU2LL9UG,HZCAAL28'
#JL0PVLULQ,vtp Kikice,3148,#LJ9YPJ8J,STAR
#J0J92LRUL,동엽,10000,#GL2JYC2U,Clan
#98UC20UPL,Aleix41809,9533,#98Y2PRU,Los Waisnay Esp
#QJU9RYG9U,Bvc_2009,10000,#GQRP0G9P,Pro
#V9928UJGR,tinca,3000,#RGLCL2UP,The The Sigma
#9R9L8L8VY,大王,866,#PVULPP2R,LegenD
#UCU92YRG2,cristian,1136,#Q88U2PVG,como sea..#
#VPQC9R8JG,Matthew,360,#GRYVR8VG,mega
#VUJCLJC08,Nyko,3322,#GLVGRRLC,MeGa
#G0G2GL988,Demolidozinx,8341,#QV8QVCLV,los pro
#88VR9U2QV,ottofco,4695,#LP9UPR0U,los pro los pro
#8LC2Y0LR2,CR# Colton™️,10000,#RC0J0RQR,LEGEND
#GY0PU9U2C,Jester,483,#QLQ8VQ80,Como
#20QGG0VG9R,ed3,206,#RJ8QC02C,the
