tag,name,trophies,clan_tag,clan_name
#QGV0PGCQL,SOPLA CRANEOS,8293,#G29CQUL0,CLAN CLAN CLAN
#GJ2LPYPC8,marti waza,9087,#9VULRLL0,STAR
#UUGRQQ0VC,lich,4548,#QJCGY98C,Queen
#U9CP2GPQJ,lil,1033,#G9009VL2,Queen
#8YU0LLJ90,Rachel,6096,#P2CVP80G,God
#20LGL9YCV2,fred,4024,#R02QP2VY,Nova
#U2GG9YJ2L,Fer,2630,#QRCCR820,DARK
#C0G2LV9YL,FARSHAD,7303,#QPQUYYY8,Dark
#VJR0JLLQ2,혼돈,8208,#9GCVJGVC,war war war
#PCR8PUPV8,bxbyloc,7877,#G90V8V8G,WAR
#QG2Y090R,0114kims,10000,#2UC9YRPJ,king
#9JCPLQ92L,ПчелиныйГерпес,10000,#R82JV0YJ,Ninja
#9CJ80UJ09,bootzn,8062,#Y8JYJ9JP,Pro
#CGJU2LQY0,HOSEIN,7557,#QPQUYYY8,Dark
#PRUG0R08,LaraCroft,5839,#GQLJQYUP,knight
#20J8UVRY2Y,chuqui,0,#G009GV8C,pro
#PCPJC8QQG,Ghost777,4325,#RGL9P2JJ,XYZ
#VYR8809YP,viola,8057,#QVVYC89J,QUEEN
#LYQYC08Y0,andre,10000,#QU0PRCGP,NOVA
#YGRC8JJLL,dave,0,#Y92880QV,pro
#UVU20PQQG,Bumberto,7022,#GY2YRG80,ELITE
#20QVJQQLC8,Ezriel,601,#QPQG9GU0,Storm
#C9UYJL0Q0,pini,10000,#QR2P2PLU,xyz
#209G82J0UP,sekkis228,2531,#G8R90UG9,The
#R2UVJVG98,xjdmx,6121,#L89U8J0R,ABC ABC ABC ABC
#8LQ9YPUV,GAME CHANGER,9364,#G9009VL2,Queen
#RVUVP8QP2,dshea,10000,#9P9PJ0GQ,War War War
#20GYY28YP2,Cookies,3374,#RGL9P2JJ,XYZ
#UY9RGCRCY,ff,2300,#RLJPCLUJ,GOD
#90L2U2YR8,KK_51,10000,#LCYU2Q9U,storm
#U990Y8LG8,Dark Kill,8126,#RCLRVUJJ,KING
#ULG829V8G,JJPP,3070,#LJUQQRCU,The
#UJUQGPC2Q,Nudelpumpe69,1485,#QJVJR0RV,Queen
#200YU980VJ,jjk,4638,#RLJPCLUJ,GOD
#PRCPL8L00,warzouz,7433,#LQPG288U,Dragon
#CLG9RU90,Amou Kamran,9798,#R02QP2VY,Nova
#VUQRUPV02,RON1N,6776,#Y2JQ9V8L,dark
#YVCJ9V0JG,brojoe,7121,#L2LU2YQP,dark
#Y0GV0Y8CG,valentinavuelve,10000,#G0RQPGVG,Royal
#RJ00C8P0P,erick,10000,#G00JU9JY,royal
#URG9RVCJP,Kirito83,6599,#LQPG288U,Dragon
#GQGUGLVY0,nilzzz,8413,#LCLGPPCP,King
#L8CGY9CP,hotpocket,10000,#Y2GLLC2,ELITE
#L8GYQ8GVL,paulo,8320,#PY88YPPJ,Fire
#UUVG98CV0,토마토는 맛있어,3830,#RRCJCG8U,King
#UC99R8G80,king,8530,#282UUPQ,king
#9V2YL28P,URは甘え/ぴぐ,5328,#89L222RR,star
#L8PJCVG9R,majd,5302,#G0CQUPY9,STAR
#JQCPQUYG0,kari,6790,#QVVYC89J,QUEEN
#9R8PRLPP,Max -_-,10000,#Y2GLLC2,ELITE
#20LG90JJVL,Diablospring,448,#QPQG9GU0,Storm
#J29YRYU2P,M00NLANDER,6346,#G9GRY8V0,STAR
#UC2GJP8P9,ярик,2830,#R8CVYV98,star
#LCCRYPCL9,TAKSUKI,6506,#YQ2PR2J8,Queen
#VCUGGUYVJ,hafizzz,9654,#QC9JULL8,Dragon
#20Y8YP9RRU,bniamin 89,366,#GQVPRLUU,God
#VJ9RVRVYV,امير³,62,#QUP2LCLP,star
#20LJJ98G8V,winni403,2866,#GRR0VUGG,abc
#2G098LJGY,君の前前前前前世,8184,#L89U8J0R,ABC ABC ABC ABC
#UR2CJ8VCY,@bryanh17,9129,#L2LU2YQP,dark
#Y9GJQ9LC9,( J3FĘ ) sero,4539,#QU0PRCGP,NOVA
#202LCPCGPY,beryl,344,#G2QQL292,Storm
#9YQYPLY2Y,Phoenix,10000,#9P9PJ0GQ,War War War
#UQ0YY2RL2,camilo,2809,#Q2UVGRQJ,GOD
#2UVGQYY09,Yano69,7943,#Q9Y9J08Y,storm
#20PP82909Q,AMASSALIXA❤️,5688,#PY88YPPJ,Fire
#90822U29L,Adawg,6089,#PVQP9PYC,ninja
#LY9PPQRY9,Ando,10000,#900QP9R,Dragon
#UQGPRPL0J,justahmed,6123,#R0GV9PCU,god god god god
#QPQQJUR02,ADI007,6065,#RY8RPLU9,KING
#V9CYC0J82,ömer,691,#RL9VGCJV,Knight
#UUJVLU2QY,la kuki,3072,#G00JU9JY,royal
#UJUG98GYV,쌈@뽕,117,#R0GV9PCU,god god god god
#99GR2UJQU,Ares,10000,#9VULRLL0,STAR
#VV9PLLCPJ,Luvskmnj,5430,#QVYQQC0R,abc
#JCLPGYRRV,"""mat le 2""",10000,#LPLGQ0YV,King
#CRCUQGVQ,HafezAssad,9530,#R09P2P0V,War
#8RP0CJ88P,Simon King,8000,#G2C0JY99,King
#20YVVYURPR,Player 2,6687,#G0YGPJCQ,elite
#LLVLGV98,Jupacek,10000,#9GCVJGVC,war war war
#VQCGPJ0R9,rey arturo,7421,#YQ2PR2J8,Queen
#99RJP9JR2,HACK,8204,#2UC9YRPJ,king
#20920V9Q2Y,CHERACUQUEDOI,1451,#G0YL92LL,the the
#UU82RC099,Pedro811,6814,#GJP2YVJ0,Elite
#V2QLGLJ9Q,MANOGAARA,5062,#LCYU2Q9U,storm
#Q0GJRVC80,fito,8371,#G9GRY8V0,STAR
#9PPYJGC0Q,deyvis,6934,#9VULRLL0,STAR
#L88LGR992,T.arissj,7278,#RL2YU92J,pro
#82LGGJU8Q,PURO MEXICA,9063,#YQ2PR2J8,Queen
#QCQLLLJPL,Mehmet Games,7208,#QUY9JL9L,XYZ
#LLP920RG2,luchoB,4002,#YUU2CP82,PRO
#RVCUU9PQC,zairalamejor,9585,#QVLRL2RQ,ELITE
#C08VUPL28,Bill,9849,#9P9PJ0GQ,War War War
#VQ8JGLVCG,Анастасия.,8179,#RGPVQRGY,The last of the
#2QG8CY800,0که تا حالا0,9844,#QRRYC2GL,XYZ
#YYVVY0UQL,vietanhN71,8036,#GV2280RQ,ABC
#20LPUUCLG2,delt,7074,#G0VYVV29,war
#Y9LYPJPPL,ramen,10000,#P2CVP80G,God
#CYLRQ82RG,Furkan pro,6727,#Y8UCQ8L0,fire
#VJVVRYU9,عرفان,7388,#LUY8PRVR,god
#V2LYRR9LJ,r6b2,5698,#G29LCLY9,Knight
#C8JVJGQJC,maga sakas,10000,#LJUQQRCU,The
#20QPQ9YQQY,shortsparkler,2145,#RGVURP0P,The The Peekers
#209LGP2LC8,chelco,6075,#282UUPQ,king
#28CYPLVLR,Skögä,4200,#QRRYC2GL,XYZ
#20P99U002Q,2499,277,#RLJPCLUJ,GOD
#RV2PG02GU,hyp3z,9375,#9P9PJ0GQ,War War War
#CU909U98V,King Knight,6009,#RY8RPLU9,KING
#UG09UR0P9,希西cyz,7079,#R02QP2VY,Nova
#VCU98U0PL,Mine Hunt,6770,#G0VVJ0CJ,WAR WAR WAR WAR
#V2U9P0GJJ,tinglelit,907,#Q9GJGGPR,god
#QCP00CL2Y,kayıbeyi,7031,#Y8UCQ8L0,fire
#20Q9PP9R80,SouvlakiWE,2704,#Q8YP8JY9,Knight
#LUQLQUGV,NeverMind,8215,#RQ2UG800,ELITE
#VPUPG0CUC,rabien,7315,#G9GRY8V0,STAR
#RQJVCLUJ8,3>hog7>willy,9843,#R09P2P0V,War
#GLQPRJV88,olhaopassarinho,9746,#GJP2YVJ0,Elite
#RJP8YLL9Q,ollyanixxx,8718,#RGPVQRGY,The last of the
#QVJYLQJY,urabssu,8838,#R82JV0YJ,Ninja
#QPGJUGJ2J,ANDRERAUL5000,7626,#G0J0QRQ9,King
#JY0G90GP9,Jeison 26,3062,#Q2UVGRQJ,GOD
#R2Y08V8L9,Antonio Penes,3234,#QVVQPPRY,xyz
#VVVJJVUGR,rocketcase,2876,#G29L90CC,Knight Knight
#98UGRVCV,Ryan,8514,#V0229J,XYZ
#UPP29GLUL,Thegreat,8921,#R0GV9PCU,god god god god
#2GY20R9U,Chino64,6288,#QVP9JRU2,xyz
#UGLLJ8JRU,godofwar,7180,#R0GV9PCU,god god god god
#V2GLV0Q9Q,miraç 21viç,5784,#G89GQJV0,NİNJA
#202RR2CRUL,Emir,7295,#PGVGGVQJ,NOVA
#JVVPYV8UR,Erik lamela,5620,#Q2UVGRQJ,GOD
#V0PPQYVCJ,comboio,1632,#LCYU2Q9U,storm
#UJ00L82R9,adair45xd,3574,#R0GV9PCU,god god god god
#PY8VL2RVG,caosvald,10000,#QRRYC2GL,XYZ
#GUYY0JJJG,Joey,9107,#QVP9JRU2,xyz
#PRU9RL80,ThisGuy,4001,#YYRLUVRU,ABC ABC ABC ABC
#QC9YQJQQ8,Crown,10000,#9P9PJ0GQ,War War War
#LL2YGPQUJ,seetyy,6061,#G22JR9J9,Knight
#U9YURR9QJ,Rickthesizzler,5756,#G928PPQ9,Queen
#9Q828YYU0,LiMiT•Dollar$,9534,#QYC0CUJ9,NOVA
#GVYQJCPJU,DarkFuture,1687,#P2YVJUY9,Dark
#V8V988PR9,Fresh,1069,#RLJPCLUJ,GOD
#U0RVUR902,026,6257,#RCRJ2PCV,The
#8PY9JVQP,adarsh,7164,#RY8RPLU9,KING
#V9QYYJY8V,Elon Musk,7124,#G0VYVV29,war
#JQYY28PR9,Smerch,8326,#R99CYLGY,STAR
#LQG80Q289,Arkadin,8840,#QVLRL2RQ,ELITE
#U892J99Q0,yassin,10000,#R02QP2VY,Nova
#VVVPCUC8C,crazyguy,1548,#QV88CRU0,Dark
#PCCCG90C,nick~(**)~,10000,#QU8LQQ2C,NoVa
#82C9CYLJ,borissov_,10000,#QVLRL2RQ,ELITE
#LC8V9YR0G,Buzzcrow,5718,#G0YL92LL,the the
#CV08PQ0Y,Nugget,4660,#L9RQRVRL,Storm
#YC20JR90P,Brian:D,8595,#G2RC00LL,queen
#VGVLL8L9C,bobbycheese,105,#R0GV9PCU,god god god god
#V289GYRGQ,ssf,4658,#QJUJJ898,ELITE
#V8GGPRVQ2,fnaf 2.0,5518,#QJUJJ898,ELITE
#U0GR8GYGU,robi,6763,#LCLGPPCP,King
#URC8QYG08,Myth1xx,5750,#QV88CRU0,Dark
#20G2RU98JV,cr7 thales,1143,#G0YL92LL,the the
#2UL8U2RR0,Rockstar,8940,#Y2JQ9V8L,dark
#C90RYQGYQ,anaiszinzin,8843,#Q9Y9J08Y,storm
#20QYRRLCPG,Luffy,3586,#RGPGLGP8,DRAGON
#20YY0V2LL8,Matt,3189,#G82CYRRQ,fire
#CRUPGJYCC,WickedCracker,10000,#QU8LQQ2C,NoVa
#PP22PLYU2,OK,10000,#900RUJUY,clan clan clan
#QY8G2L9QU,DäVïD,9598,#R09P2P0V,War
#UQU0RYJV8,nezihe,7729,#Y8UCQ8L0,fire
#R2VQQ2RY2,diosSalchicha,5223,#YCL09RGJ,Knight
#JCJGVLY20,Saitama502,9633,#G9009VL2,Queen
#9U2VUVL2,Liam,9127,#2CUYY02,NOVA
